X,Y,Data,Ora,Luogo_corr,INCIDENTE,lon,lat
13.319503,38.094442,16/01/2017,01:20,VIA PARUTA FILIPPO intersezione con VIA DUE VANELLE,F,13.319502999999999,38.094442000000001
13.316175,38.135984,16/01/2017,02:00,VIALE MICHELANGELO carr. laterale rotonda,F,13.316174999999999,38.135984000000001
13.338806,38.125236,16/01/2017,14:30,VIA SERRADIFALCO intersezione VIA AURISPA GIOVANNI,C,13.338806000000000,38.125236000000001
13.433115,38.095123,16/01/2017,13:05,VIA MESSINA MARINE di fronte al civico 584,F,13.433115000000001,38.095123000000001
13.320906,38.188932,16/01/2017,13:30,VIALE DELL'OLIMPO di fronte al civico n.3,F,13.320906000000001,38.188932000000001
13.30929,38.124332,16/01/2017,18:10,VIA CARTAGINE di fronte al civico 3A,R,13.309290000000001,38.124332000000003
13.3657474751268,38.1120215197851,16/01/2017,17:45,VIA ROMA altezza (inters.) VIA GORIZIA,F,13.365747475126833,38.112021519785145
13.344962,38.133948,16/01/2017,17:20,VIA ARIOSTO LUDOVICO altezza del civico 28G,F,13.344962000000001,38.133947999999997
13.334956,38.121334,16/01/2017,20:45,VIA NOCE nr. 113,F,13.334956000000000,38.121333999999997
13.393251,38.087813,16/01/2017,20:00,VIALE REGIONE SICILIANA S.E. altezza (inters.) VIA PIZZUTO ANTONIO,F,13.393250999999999,38.087812999999997
13.322305,38.151742,16/01/2017,22:00,VIALE REGIONE SICILIANA N.O. intersezione con VIA DI BLASI E. GIOVANNI,F,13.322305000000000,38.151741999999999
13.34893,38.111601,17/01/2017,08:00,VIA DANISINNI di fronte al civico 21,F,13.348929999999999,38.111601000000000
13.297195,38.125708,17/01/2017,07:50,VIA CASTELLANA intersezione con VIALE LEONARDO DA VINCI,C,13.297195000000000,38.125708000000003
13.306944,38.125673,17/01/2017,01:30,VIA CASTELLANA altezza del civico 26,C,13.306944000000000,38.125672999999999
13.34369,38.140064,03/01/2017,23:15,VIA CUCCIA SIMONE intersezione con VIA DI GIOVANNI ALESSIO,C,13.343690000000000,38.140064000000002
13.39324,38.100838,06/01/2017,10:45,VIA DIAZ ARMANDO M.LLO altezza del civico 33/A,C,13.393240000000000,38.100838000000003
13.350082,38.123066,17/01/2017,14:30,VIA LATINI BRUNETTO intersezione con VIA DANTE,F,13.350082000000000,38.123066000000001
13.326347,38.126868,07/01/2017,19:00,VIALE LEONARDO DA VINCI intersezione con VIA CASALINI,C,13.326347000000000,38.126868000000002
13.335555,38.082198,08/01/2017,22:35,VIA VILLAGRAZIA di fronte al civico 315/n,C,13.335554999999999,38.082197999999998
13.333083,38.140325,10/01/2017,11:30,VIALE LAZIO altezza del civico 124 A,C,13.333083000000000,38.140324999999997
13.338735,38.139804,17/01/2017,17:30,VIA SCIUTI GIUSEPPE altezza del civico 172,F,13.338735000000000,38.139803999999998
13.34116,38.14708,10/01/2017,15:50,VIALE CROCE ROSSA nr. 22,C,13.341160000000000,38.147080000000003
13.278475,38.198598,18/01/2017,00:35,VIA DEI BARCAIUOLI intersezione PIAZZA PLUTARCO,F,13.278475000000000,38.198597999999997
13.369052,38.119361,12/01/2017,11:20,VIA CALA in prossimità di viasansebastian,C,13.369052000000000,38.119360999999998
13.351981,38.112085,18/01/2017,14:25,CORSO ALBERTO AMEDEO di fronte al civico 13,F,13.351981000000000,38.112085000000000
13.347363,38.1142,18/01/2017,17:20,VIA COLONNA ROTTA altezza del civico 206,C,13.347363000000000,38.114199999999997
13.329596,38.103839,18/01/2017,17:00,VIA POLLACI GIUSEPPE intersezione con CORSO CALATAFIMI,F,13.329596000000000,38.103839000000001
13.356578,38.12781,19/01/2017,02:30,PIAZZA NASCE' FRANCESCO intersezione con VIA SELLA QUINTINO,C,13.356578000000001,38.127809999999997
13.329012,38.11938,19/01/2017,03:00,VIALE REGIONE SICILIANA N.O. nr. 1571,F,13.329012000000001,38.119380000000000
13.36168,38.109785,19/01/2017,03:30,VIA PORTA S.AGATA nr. 4,F,13.361680000000000,38.109785000000002
13.371222,38.10062,19/01/2017,08:15,VIA ORETO intersezione VIA LA COLLA FRANCESCO,F,13.371221999999999,38.100619999999999
13.370696,38.152975,19/01/2017,10:00,VIA SERGIO PAPA I nr. 53,F,13.370696000000001,38.152974999999998
13.329548,38.102771,19/01/2017,10:45,CORSO CALATAFIMI altezza (inters.) VIA MAGG. AMARI GIUSEPPE,F,13.329548000000001,38.102770999999997
13.31908,38.181444,19/01/2017,15:00,VIALE PERTINI SANDRO intersezione con VIA GUTTUSO RENATO,C,13.319080000000000,38.181443999999999
13.322305,38.151742,09/01/2017,08:05,VIALE REGIONE SICILIANA N.O. intersezione con VIA SOCRATE,F,13.322305000000000,38.151741999999999
13.332875,38.118907,09/01/2017,09:00,VIA PERPIGNANO nr. 133,C,13.332875000000000,38.118907000000000
13.350047,38.118794,19/01/2017,18:05,CSO FINOCCHIARO APRILE CAMILLO altezza del civico 34,F,13.350047000000000,38.118794000000001
13.333956,38.104992,19/01/2017,18:45,VIA ARCOLEO GIUSEPPE altezza del civico 17,F,13.333956000000001,38.104992000000003
13.34526,38.134161,19/01/2017,19:00,VIA ARIOSTO LUDOVICO intersezione VIA SCIUTI GIUSEPPE,F,13.345260000000000,38.134160999999999
13.338157,38.148715,19/01/2017,22:00,VIA TRINACRIA intersezione VIA LO BIANCO ANTONIO,F,13.338157000000001,38.148715000000003
13.361564,38.086535,16/01/2017,10:35,VIA DELL'ERMELLINO intersezione con VIALE PAPA GIOVANNI XXIII,F,13.361564000000000,38.086534999999998
13.343775,38.122225,11/01/2017,07:40,VIA DANTE nr. 157/a,C,13.343775000000001,38.122225000000000
13.346241,38.097908,11/01/2017,16:00,VIA BASILE ERNESTO nr. 208,C,13.346240999999999,38.097907999999997
13.32859,38.128768,12/01/2017,13:05,PIAZZA EINSTEIN ALBERT altezza (spec.) garitta P.M.,C,13.328590000000000,38.128768000000001
13.348194,38.153161,12/01/2017,15:00,VIALE DIANA pressi rifugio del can,C,13.348193999999999,38.153160999999997
13.347854,38.124425,13/01/2017,17:00,SVINCOLO DI SALVO ROSARIO in direzione di via VIA BELGIO,C,13.347854000000000,38.124425000000002
13.335373,38.142922,14/01/2017,11:50,VIA ABRUZZI nr. 11/d,C,13.335373000000001,38.142921999999999
13.295035,38.113004,14/01/2017,12:10,VIA RUFFO DI CALABRIA nr. 14,C,13.295035000000000,38.113003999999997
13.351594,38.110895,16/01/2017,09:15,PIAZZA INDIPENDENZA di fronte presidenza reg,C,13.351594000000000,38.110894999999999
13.363153,38.117216,18/01/2017,02:25,VIA ROMA intersezione con VIA VENEZIA,F,13.363153000000001,38.117215999999999
13.32859,38.128768,18/01/2017,12:00,PIAZZA EINSTEIN ALBERT pressi parco uditore,C,13.328590000000000,38.128768000000001
13.324382,38.162014,16/01/2017,15:20,VIA S.LORENZO di fronte al civico 119,C,13.324382000000000,38.162013999999999
13.348798,38.13524,19/01/2017,07:05,VIA DELLA LIBERTA' intersezione con VIA ARIMONDI GIUSEPPE GEN.,F,13.348798000000000,38.135240000000003
13.405672,38.096931,19/01/2017,09:15,VIALE DI VITTORIO GIUSEPPE pressi 7/b,F,13.405671999999999,38.096930999999998
13.351211,38.104881,16/01/2017,16:45,VIA BASILE ERNESTO di fronte al civico 108,C,13.351210999999999,38.104880999999999
13.347385,38.122953,20/01/2017,08:40,VIA DANTE intersezione con VIA RE FEDERICO,C,13.347384999999999,38.122953000000003
13.375191,38.096864,20/01/2017,08:20,VIA DELLA CONCILIAZIONE altezza del civico 25,F,13.375190999999999,38.096863999999997
13.34164,38.145579,20/01/2017,10:10,PIAZZA VITTORIO VENETO altezza (inters.) VIA BRIGATA VERONA,F,13.341640000000000,38.145578999999998
13.322305,38.151742,20/01/2017,10:38,VIALE REGIONE SICILIANA N.O. intersezione VIA PORTELLO,F,13.322305000000000,38.151741999999999
13.355632,38.129795,20/01/2017,13:30,VIA OMODEI FRANCESCO intersezione con VIA CARINI ISIDORO,F,13.355632000000000,38.129795000000001
13.321918,38.136863,16/01/2017,08:00,VIA BERNINI GIAN LORENZO nr. 11,F,13.321918000000000,38.136862999999998
13.312884,38.163536,20/01/2017,16:20,VIA LA MALFA UGO s.n.c.,F,13.312884000000000,38.163536000000001
13.35099,38.109695,20/01/2017,15:50,PIAZZA INDIPENDENZA pressi civico 13,F,13.350989999999999,38.109695000000002
13.322305,38.151742,05/01/2017,05:05,VIALE REGIONE SICILIANA N.O. altezza (spec.) cavalcav. Lazio,C,13.322305000000000,38.151741999999999
13.322305,38.151742,04/01/2017,12:00,VIALE REGIONE SICILIANA N.O. altezza (spec.) ponte Michelang,F,13.322305000000000,38.151741999999999
13.366131,38.111179,17/01/2017,21:00,VIA ROMA intersezione VIA TRIESTE,C,13.366130999999999,38.111179000000000
13.412225,38.097989,20/01/2017,18:40,VIA MESSINA MARINE intersezione con VIA LAUDICINA ANTONINO,C,13.412224999999999,38.097988999999998
13.344051,38.10841,21/01/2017,00:30,CORSO CALATAFIMI altezza del civico 104,F,13.344051000000000,38.108409999999999
13.366393,38.11581,21/01/2017,07:10,VIA PATERNOSTRO ALESSANDRO altezza del civico 38,F,13.366393000000000,38.115810000000003
13.316702,38.097399,21/01/2017,16:45,CORSO CALATAFIMI altezza del civico 876,C,13.316701999999999,38.097399000000003
13.329411,38.135274,21/01/2017,20:30,VIA MINEO NICOLO' altezza del civico 9,C,13.329411000000000,38.135274000000003
13.326477,38.156852,22/01/2017,00:30,VIALE STRASBURGO di fronte VIA,F,13.326477000000001,38.156852000000001
13.337532,38.121234,22/01/2017,02:10,VIA GEREMIA PIETRO intersezione con VIA CROCIFERI,C,13.337531999999999,38.121234000000001
13.334542,38.132904,22/01/2017,03:00,VIA BORREMANS GUGLIELMO intersezione con VIA PRINCIPE DI PALAGONIA,F,13.334542000000001,38.132904000000003
13.342612,38.139325,22/01/2017,03:00,VIALE GIULIANO BORIS intersezione con VIA PRINCIPE DI PATERNO',F,13.342612000000001,38.139324999999999
13.351594,38.110895,22/01/2017,17:30,PIAZZA INDIPENDENZA altezza (spec.) Presidenza,C,13.351594000000000,38.110894999999999
13.36127,38.09205,22/01/2017,18:15,VIA S.FILIPPO altezza del civico 42,F,13.361269999999999,38.092050000000000
13.329747,38.119312,22/01/2017,19:45,VIA PERPIGNANO in prossimità di eurospin,F,13.329746999999999,38.119312000000001
13.348629,38.123903,20/01/2017,12:00,PIAZZA VIRGILIO intersezione con VIA DANTE,C,13.348629000000001,38.123902999999999
13.330553,38.155856,23/01/2017,08:10,VIA ALDISIO SALVATORE altezza del civico 4,F,13.330553000000000,38.155856000000000
13.339141,38.105439,23/01/2017,08:45,VIA TRASSELLI CARMELO altezza del civico 19,F,13.339141000000000,38.105438999999997
13.324579,38.134046,23/01/2017,08:20,VIA BERNINI GIAN LORENZO intersezione con VIA GIORGIONE,F,13.324579000000000,38.134045999999998
13.352794,38.136528,23/01/2017,10:10,VIA DEGLI ORTI intersezione con VIA TOSELLI PIETRO MAGG.,F,13.352793999999999,38.136527999999998
13.371968,38.109539,23/01/2017,11:10,VIA INGRASSIA GIAN FILIPPO intersezione con VIA CIPOLLA MICHELE,F,13.371968000000001,38.109538999999998
13.348686,38.140585,23/01/2017,11:00,VIALE MARCHESE DI VILLABIANCA nr. 181,F,13.348686000000001,38.140585000000002
13.35155,38.10456,17/01/2017,09:10,VIA TURBA EUCLIDE GEN. nr. 30,F,13.351550000000000,38.104559999999999
